symbol,timestamp,date,week,hour,signal,source,confidence,entry_price,stop_loss,tp1,tp2,outcome,pnl_pct,exit_price,is_winner,executed,execution_mode,ml_probability,ml_vote,lstm_probability,lstm_vote,confluence_score,votes_for,votes_against,market_regime,market_regime_base,rsi,adx,atr,bb_position,trend,macd_histogram,cvd,orderbook_imbalance,operation_type,block_reason,voter_rsi,voter_macd,voter_trend,voter_adx,voter_bb,voter_orderbook,voter_cvd,voter_regime,voter_setup_validator,voter_llm,risk_distance_pct,reward_distance_pct,risk_reward
ADAUSDT,2026-03-10 10:36:08.192279+00:00,2026-03-10,11,10,BUY,AGNO,7,0.2662,0.258,0.272,0.278,TP1_HIT,2.178812922614586,0.272,True,False,,,0,,0,0.0,0.0,0,,,66.91283071468649,34.84073672270715,0.003362249707877953,1.0529350359555814,neutral,0.0006968980390949422,-305077.0,0.1537415701791235,,,0,0,0,0,0,0,0,0,0,0,3.0803906836964634,2.178812922614586,0.7073170731707363
ADAUSDT,2026-03-10 10:49:00.958400+00:00,2026-03-10,11,10,BUY,AGNO,8,0.2665,0.2527,0.2721,0.2784,TP1_HIT,2.1013133208255135,0.2721,True,False,,,0,,0,0.0,0.0,0,,,69.03000031219815,34.84073672270715,0.003362249707877953,1.0906789400997086,neutral,0.0007415704037673024,-181330.0,0.1306911074941337,,,0,0,0,0,0,0,0,0,0,0,5.178236397748606,2.1013133208255135,0.4057971014492739
ADAUSDT,2026-03-10 10:59:14.562822+00:00,2026-03-10,11,10,NO_SIGNAL,AGNO,6,0.2673,0.2525,0.2721,0.2784,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,69.79750229039668,34.94177245768476,0.003433678279306525,1.105995004037119,neutral,0.0007607157029126312,-220870.0,0.10327996154754825,,,0,0,0,0,0,0,0,0,0,0,5.536849981294418,1.7957351290684722,0.3243243243243265
ADAUSDT,2026-03-10 11:09:56.047502+00:00,2026-03-10,11,11,BUY,AGNO,7,0.2664,0.2526,0.2721,0.2784,TP1_HIT,2.139639639639633,0.2721,True,False,,,0,,0,0.0,0.0,0,,,67.34408405260864,36.649158560231584,0.003295558553033272,0.9706607719403886,neutral,0.0007689233475933351,-46009.0,0.1541515933193726,,,0,0,0,0,0,0,0,0,0,0,5.1801801801801926,2.139639639639633,0.4130434782608673
ADAUSDT,2026-03-10 11:20:23.302814+00:00,2026-03-10,11,11,BUY,AGNO,7,0.2658,0.258,0.272,0.278,TP1_HIT,2.3325808878856433,0.272,True,False,,,0,,0,0.0,0.0,0,,,66.3981268087416,36.649158560231584,0.003295558553033272,0.9539285907969658,neutral,0.0007497780484480505,78258.0,0.0816789456593822,,,0,0,0,0,0,0,0,0,0,0,2.934537246049652,2.3325808878856433,0.7948717948718026
ADAUSDT,2026-03-10 11:30:44.725871+00:00,2026-03-10,11,11,BUY,AGNO,7,0.2656,0.2527,0.2721,0.2784,TP1_HIT,2.447289156626508,0.2721,True,False,,,0,,0,0.0,0.0,0,,,66.08868576470488,36.649158560231584,0.003316987124461845,0.9482627051888104,neutral,0.0007433962820662594,143314.0,0.002499371234153265,,,0,0,0,0,0,0,0,0,0,0,4.856927710843382,2.447289156626508,0.5038759689922475
ADAUSDT,2026-03-10 11:41:23.381314+00:00,2026-03-10,11,11,BUY,AGNO,7,0.265,0.252,0.272,0.278,TP1_HIT,2.6415094339622662,0.272,True,False,,,0,,0,0.0,0.0,0,,,62.58844820876238,36.31149946798786,0.0033669871244618433,0.876876170125488,neutral,0.000666815085485077,-508107.0,0.14581665582342343,,,0,0,0,0,0,0,0,0,0,0,4.905660377358494,2.6415094339622662,0.5384615384615385
ADAUSDT,2026-03-10 11:51:33.656621+00:00,2026-03-10,11,11,BUY,AGNO,7,0.264,0.254,0.272,0.278,TP1_HIT,3.030303030303033,0.272,True,False,,,0,,0,0.0,0.0,0,,,62.865910756843924,36.04509752258034,0.0034027014101761293,0.8830601916192548,neutral,0.0006731968518668236,323273.0,0.07685940696431753,,,0,0,0,0,0,0,0,0,0,0,3.7878787878787907,3.030303030303033,0.8
ADAUSDT,2026-03-10 12:01:51.357454+00:00,2026-03-10,11,12,BUY,AGNO,7,0.2642,0.254,0.272,0.278,TP1_HIT,2.9523088569265816,0.272,True,False,,,0,,0,0.0,0.0,0,,,61.594290293297384,37.06961790238514,0.003202508608229411,0.8230414207690613,neutral,0.0005232248263797405,-40167.0,0.09927691764084368,,,0,0,0,0,0,0,0,0,0,0,3.860711582134742,2.9523088569265816,0.7647058823529449
ADAUSDT,2026-03-10 12:12:11.132001+00:00,2026-03-10,11,12,BUY,AGNO,7,0.262,0.254,0.268,0.272,TP2_HIT,3.0534351145038197,0.272,True,False,,,0,,0,0.0,0.0,0,,,58.51583893626863,36.43728449542797,0.0032953657510865556,0.7446007279860226,neutral,0.00044664362979851373,186730.0,0.0854831887990117,,,0,0,0,0,0,0,0,0,0,0,3.0534351145038197,2.2900763358778646,0.75
